Jackie Brown,184
Kill Bill: Vol. 1,24
Kill Bill: Vol. 2,393
The Two Popes,551332
Death Proof,1991
1917,530915
Inglourious Basterds,16869
Raiders of the Lost Ark,85
Hell or High Water,338766
Snowpiercer,110415
The Departed,1422
American Psycho,1359
Catch Me If You Can,640
The Lobster,254320
Parasite,496243
Ferris Bueller's Day Off,9377
Life of Brian,583
Blade Runner,78
The Irishman,398978
Django Unchained,68718
Gladiator,98
Dallas Buyers Club,152532
American Beauty,14
To All the Boys I've Loved Before,466282
Her,152601
The Notebook,11036
To All the Boys: P.S. I Still Love You,565426
Ford v Ferrari,359724
Miracle,14292
American Factory,565716
The Favourite,375262
The Hateful Eight,273248
Hereditary,493922
Midsommar,530385
The Lego Movie 2: The Second Part,280217
Dolemite Is My Name,528888
The Godfather,238
How to Train Your Dragon: The Hidden World,166428
6 Underground,509967
The King,504949
Black Swan,44214
Jojo Rabbit,515001
Men in Black,607
Zodiac,1949
Locke,210479
United 93,9829
The Killing Fields,625
Coraline,14836
Paranormal Activity,23827
The Shawshank Redemption,278
Corpse Bride,3933
DodgeBall: A True Underdog Story,9472
Free Solo,515042
The Interview,228967
Taxi Driver,103
Arrival,329865
Teen Titans Go! vs. Teen Titans,556901
Who Framed Roger Rabbit,856
Icarus,432976
The Edge of Democracy,566221
Unbreakable,9741
A Beautiful Day in the Neighborhood,501907
John Wick,245891
John Wick: Chapter 2,324552
John Wick: Chapter 3 - Parabellum,458156
Fight Club,550
Bāhubali: The Beginning,256040
Bāhubali 2: The Conclusion,350312
Y Tu Mamá También,1391
Fargo,275
Train to Busan,396535
RoboCop,5548
Burning,491584
Zombieland,19908
Seoul Station,389868
Overlord,438799
RoboCop 2,5549
When Harry Met Sally...,639
Miss Americana,653567
Honeyland,566213
No Country for Old Men,6977
Raging Bull,1578
GoodFellas,769
Memento,77
Split,381288
RoboCop 3,5550
Interstellar,157336
Mission: Impossible,954
Zombieland: Double Tap,338967
Being John Malkovich,492
Little Miss Sunshine,773
Jane Eyre,38684
Once Upon a Time… in Hollywood,466272
Adventureland,16614
Forrest Gump,13
Onward,508439
21 Jump Street,64688
Lost in Translation,153
Brokeback Mountain,142
Children of Men,9693
The Girl with the Dragon Tattoo,65754
Shaun of the Dead,747
Brüno,18480
The Godfather: Part II,240
The Talented Mr. Ripley,1213
Harold & Kumar Go to White Castle,11282
Crash,1640
Rosemary's Baby,805
Paranormal Activity 2,41436
Driving Miss Daisy,403
First Blood,1368
Rambo: First Blood Part II,1369
Rambo III,1370
Bruce Almighty,310
Mary Queen of Scots,457136
Galveston,283601
The Witch,310131
The Lighthouse,503919
The Perks of Being a Wallflower,84892
The Killing of a Sacred Deer,399057
Spy Kids,10054
Space Jam,2300
Tinker Tailor Soldier Spy,49517
Mission: Impossible II,955
Okja,387426
Team America: World Police,3989
Paranormal Activity 3,72571
The Day After Tomorrow,435
The Station Agent,2056
Stuber,513045
Slumdog Millionaire,12405
The Dirty Dozen,1654
The Town,23168
The Death of Stalin,402897
Limitless,51876
The Platform,619264
The Half of It,597219
There Will Be Blood,7345
Senna,58496
Road to Perdition,4147
Happy Death Day,440021
Happy Death Day 2U,512196
Becoming,699280
Mission: Impossible III,956
Napoleon Dynamite,8193
Pain and Glory,519010
Gone Baby Gone,4771
The Queen,1165
Hot Fuzz,4638
Moneyball,60308
Precious,25793
BlacKkKlansman,487558
Ex Machina,264660
The Fighter,45317
Indiana Jones and the Temple of Doom,87
Mission: Impossible - Ghost Protocol,56292
Groundhog Day,137
The Lovebirds,576156
High School Musical,10947
High School Musical 2,13649
High School Musical 3: Senior Year,11887
Rise of the Planet of the Apes,61791
Drive,64690
Outbreak,6950
Contagion,39538
Nausicaä of the Valley of the Wind,81
Pretty in Pink,11522
Batman,268
Battleship Potemkin,643
Castle in the Sky,10515
Shutter Island,11324
Grave of the Fireflies,12477
Batman Returns,364
Eraserhead,985
Heathers,2640
Ad Astra,419704
Uncut Gems,473033
Extremely Wicked, Shockingly Evil and Vile,457799
My Neighbor Totoro,8392
Eternal Sunshine of the Spotless Mind,38
Cape Fear,1598
Portrait of a Lady on Fire,531428
Blood Simple,11368
In Bruges,8321
Batman Forever,414
Booksmart,505600
Kiki's Delivery Service,16859
Athlete A,684700
Cloverfield,7191
Scoob!,385103
Braveheart,197
Titanic,597
Just Mercy,522212
Batman & Robin,415
Bad Education,530723
Welcome to Chechnya,653579
Three Colors: Blue,108
Hamilton,556574
Crip Camp: A Disability Revolution,653725
The Social Network,37799
La La Land,313369
Airplane!,813
Mean Girls,10625
Palm Springs,587792
Batman: Mask of the Phantasm,14919
Only Yesterday,15080
Three Colors: White,109
Indiana Jones and the Last Crusade,89
Bridesmaids,55721
Crimson Peak,201085
The Philadelphia Story,981
Fear and Desire,10165
Insomnia,320
Requiem for a Dream,641
Porco Rosso,11621
Wild Strawberries,614
Enter the Dragon,9461
